ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
3977,Total - Household total income groups in 2015 for private households - 25% sample data,6125,35100,7545,19515,15035,12730,17890,5530,10665,22950,10900,17985,5020,18865,8835,2875,3155,5850,11595,10170,30820,5340,283915,960890
3978,"  Under $5,000",275,2010,300,610,345,260,405,220,200,835,520,515,230,615,170,90,80,255,335,180,1435,270,10140,28215
3979,"  $5,000 to $9,999",180,1110,135,425,310,125,255,140,110,420,325,310,120,280,140,60,50,390,170,140,660,125,5970,15325
3980,"  $10,000 to $14,999",190,2335,195,630,990,380,470,125,240,635,480,745,175,465,190,50,60,985,310,290,1505,195,11605,28505
3981,"  $15,000 to $19,999",260,1780,165,785,1130,715,815,195,475,960,645,860,310,970,250,65,75,1145,455,425,2035,205,14710,38730
3982,"  $20,000 to $24,999",310,1375,175,785,755,545,605,150,370,800,565,730,170,820,295,90,115,345,420,490,1730,185,11805,35915
3983,"  $25,000 to $29,999",210,1080,260,650,665,585,780,250,440,790,540,665,290,835,310,55,95,420,490,455,1385,140,11365,35430
3984,"  $30,000 to $34,999",285,1150,145,695,595,480,655,230,450,845,575,655,240,835,270,80,90,245,485,520,1475,145,11145,36585
3985,"  $35,000 to $39,999",205,1015,185,695,725,570,745,160,510,770,455,730,210,885,340,60,105,135,465,445,1610,165,11190,36525
3986,"  $40,000 to $44,999",195,1055,200,775,675,540,725,205,345,985,575,775,175,855,370,70,120,165,510,395,1540,155,11365,36175
3987,"  $45,000 to $49,999",210,1245,195,815,680,490,795,170,445,760,405,735,195,710,220,85,105,125,480,365,1585,135,10925,36885
3988,"  $50,000 to $59,999",365,1985,400,1485,1260,980,1370,410,870,1785,985,1390,310,1565,590,95,235,265,920,820,2765,300,21115,69505
3989,"  $60,000 to $69,999",325,2055,320,1500,1205,820,1245,340,780,1470,725,1360,260,1460,550,145,180,190,895,700,2325,270,19095,66095
3990,"  $70,000 to $79,999",345,1945,355,1420,875,830,1195,285,750,1485,700,1150,250,1300,550,160,180,180,785,680,2185,255,17810,60330
3991,"  $80,000 to $89,999",360,1885,310,1185,715,665,1060,215,665,1335,545,1030,225,1135,490,120,175,125,680,590,1660,230,15360,54515
3992,"  $90,000 to $99,999",255,1685,290,940,695,640,1010,215,540,1120,375,845,235,965,455,90,160,135,590,480,1360,225,13300,49305
3993,"  $100,000 and over",2145,11390,3915,6105,3425,4115,5770,2215,3475,7950,2495,5505,1645,5160,3645,1550,1320,745,3610,3195,5555,2335,87015,332855
3994,"    $100,000 to $124,999",445,3290,660,1740,1130,1295,1770,390,1200,2140,905,1710,400,1910,890,210,285,245,1105,985,2240,380,25255,100350
3995,"    $125,000 to $149,999",380,2390,445,1320,745,995,1330,290,830,1485,450,1300,245,1360,685,175,215,180,810,740,1160,350,17820,72235
3996,"    $150,000 to $199,999",450,2590,820,1530,935,1105,1510,390,810,1815,625,1270,395,1255,965,255,345,175,955,865,1205,460,20675,82570
3997,"    $200,000 and over",865,3120,1985,1520,620,720,1160,1140,640,2515,520,1225,595,640,1100,900,480,145,745,605,950,1145,23270,77695
