ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
1, Total - Age groups and average age of the population - 100% data ,"15,295","62,030","21,425","33,620","29,175","34,575","49,325","13,975","29,325","43,045","24,460","32,955","13,030","51,530","22,555","8,430","7,970","12,585","36,500","31,065","47,200","13,065","631,485","2,463,430"
2,  0 to 14 years,2015,4000,3545,2580,3210,4595,7060,1880,4185,4315,2635,3080,1565,6305,3415,1175,1105,1065,5460,3790,1945,1900,70530,362110
3,    0 to 4 years,455,2080,675,1240,1320,1510,2515,430,1300,1720,905,1565,490,2065,1175,270,360,360,1695,1175,965,420,24615,116270
4,    5 to 9 years,685,1105,1225,760,1025,1560,2390,600,1400,1405,855,910,480,2115,1160,405,365,365,1780,1210,560,670,22905,122730
5,    10 to 14 years,880,810,1650,580,865,1525,2160,845,1485,1195,885,605,590,2130,1080,500,375,340,1985,1410,415,810,23010,123110
6,  15 to 64 years,9805,51275,14215,25140,22535,23945,35385,9395,19985,32805,18045,27060,8560,37315,15875,5440,5430,8745,25490,21090,38255,8660,463390,1714005
7,    15 to 19 years,1230,1180,1800,655,830,1780,2630,1050,1760,1420,1400,630,835,2815,1065,575,380,370,2570,1895,610,915,28265,142285
8,    20 to 24 years,1165,4050,1740,1865,1525,2360,3470,1150,1995,3250,2060,1710,1040,4340,1335,635,475,575,2975,2220,3100,1215,44150,167270
9,    25 to 29 years,805,8810,1110,4025,3450,2755,4325,905,1755,5300,2185,4895,995,4820,1955,545,705,885,2900,2295,7375,780,63475,179940
10,    30 to 34 years,570,9750,695,4395,3720,2515,4205,560,1800,5080,1815,5705,735,3985,2010,445,670,960,2450,1985,7140,610,61715,182625
11,    35 to 39 years,560,6620,765,3175,2835,2265,3805,545,1810,3640,1535,3935,645,3490,1745,380,635,960,2535,1795,4750,575,48915,167950
12,    40 to 44 years,965,4755,1325,2450,2425,2300,3700,770,2040,2990,1535,2870,685,3350,1680,385,530,830,2540,1805,3280,755,43890,168375
13,    45 to 49 years,1350,4610,2025,2340,2220,2615,3640,1245,2165,3205,1980,2165,920,3570,1710,685,620,985,2660,2080,3145,1055,46890,184285
14,    50 to 54 years,1310,4160,1895,2110,2025,2800,3570,1245,2395,2895,2135,2025,1010,4115,1700,665,530,1080,2610,2450,3230,1030,46845,191375
15,    55 to 59 years,920,3970,1460,2145,1885,2490,3190,1045,2290,2620,1830,1740,825,3685,1425,570,460,1150,2320,2375,2945,865,42100,177095
16,    60 to 64 years,935,3365,1400,1980,1615,2055,2840,885,1975,2405,1570,1380,855,3145,1240,565,425,945,1925,2205,2680,860,37150,152810
17,  65 years and over,3480,6760,3660,5895,3435,6040,6875,2700,5150,5925,3780,2825,2910,7910,3260,1820,1435,2775,5550,6185,7000,2510,97565,387315
18,    65 to 69 years,915,2640,1290,2005,1330,1775,2190,850,1745,2300,1340,1195,855,2545,1115,555,375,830,1735,1885,2485,900,32760,131035
19,    70 to 74 years,635,1710,865,1345,750,1065,1385,675,1045,1475,815,610,540,1570,610,370,255,485,1195,1110,1815,605,20835,89675
20,    75 to 79 years,590,1095,655,930,520,1125,1280,495,890,855,620,415,500,1495,565,275,210,495,1010,1120,1155,415,16630,66505
21,    80 to 84 years,525,700,415,690,425,1085,1035,360,710,575,440,290,440,1215,485,240,235,445,865,935,750,275,13115,48825
22,    85 years and over,810,615,430,930,415,990,985,320,765,725,555,305,580,1085,490,385,360,520,745,1135,800,310,14225,51275
23,      85 to 89 years,430,390,265,525,290,655,640,195,475,435,330,180,310,700,305,185,170,310,480,670,490,195,8615,31475
24,      90 to 94 years,270,170,115,270,100,265,260,100,195,210,170,95,220,300,135,130,145,140,200,340,240,80,4140,14870
25,      95 to 99 years,90,45,45,105,25,60,65,20,80,65,55,25,45,70,40,60,40,60,50,95,55,25,1215,4190
26,      100 years and over,20,10,10,25,5,10,15,0,10,15,10,5,5,15,10,10,10,10,10,25,10,5,255,740
