CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Year (2),Member ID: Year (2),Notes: Year (2),DIM: Age (9),Member ID: Age (9),Notes: Age (9),DIM: Sex (3),Member ID: Sex (3),Notes: Sex (3),DIM: Income sources and taxes (16),Member ID: Income sources and taxes (16),Notes: Income sources and taxes (16),Dim: Income statistics (5A): Member ID: [1]: Total - Population aged 15 years and over,Dim: Income statistics (5A): Member ID: [2]: With an amount,Dim: Income statistics (5A): Member ID: [3]: Percentage with an amount (%),Dim: Income statistics (5A): Member ID: [4]: Average amount ($) (Note: 19),Dim: Income statistics (5A): Member ID: [5]: Aggregate amount ($'000)
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Total income,1,3,2064615,1978875,95.8,46821,92652824
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Market income,2,4,2064610,1780855,86.3,47281,84199938
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Employment income,3,5,2064610,1487050,72,46081,68525344
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,"Wages, salaries and commissions",4,6,2064615,1351215,65.4,47069,63600630
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Net self-employment income,5,7,2064615,259395,12.6,18986,4924749
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Investment income,6,8,2064610,752820,36.5,11404,8584789
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Private retirement income,7,9,2064615,239570,11.6,21457,5140585
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Market income not included elsewhere,8,10,2064615,311980,15.1,6248,1949327
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Government transfers,9,11,2064615,1370125,66.4,6169,8452659
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,2064610,311210,15.1,8192,2549409
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,2064615,385345,18.7,6972,2686746
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Employment Insurance (EI) benefits,12,14,2064615,122630,5.9,6780,831413
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Child benefits,13,15,2064615,255190,12.4,4065,1037372
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Other government transfers,14,16,2064615,969285,46.9,1390,1347722
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,After-tax income,15,17,2064615,1981625,96,38512,76315540
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Total - Sex,1,,Income taxes,16,18,2064615,1369915,66.4,11926,16337121
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Male,2,,Total income,1,3,998835,957435,95.9,55848,53470590
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Male,2,,Market income,2,4,998830,875330,87.6,57128,50005811
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,Total - Age,1,,Male,2,,Employment income,3,5,998830,752855,75.4,55081,41467680
