TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,7,28,19,12,10XX ALBERNI ST,West End,491015.9434,5459166.14
Break and Enter Commercial,2020,6,19,3,40,10XX ALBERNI ST,West End,491059.4824,5459122.418
Break and Enter Commercial,2020,9,27,20,0,10XX ALBERNI ST,West End,491073.0884,5459108.755
Break and Enter Commercial,2020,10,5,15,34,10XX ALBERNI ST,West End,491073.0884,5459108.755
Break and Enter Commercial,2020,6,28,6,50,10XX ALBERNI ST,West End,491102.2439,5459092.435
Break and Enter Commercial,2020,4,16,17,0,10XX BEACH AVE,Central Business District,490249.3649,5458166.658
Break and Enter Commercial,2020,4,1,3,25,10XX BEACH AVE,Central Business District,490252.3815,5458162.723
Break and Enter Commercial,2020,9,19,21,24,10XX BEACH AVE,Central Business District,490269.91,5458141.126
Break and Enter Commercial,2020,10,20,20,0,10XX BROUGHTON ST,West End,490247.4903,5459171.385
Break and Enter Commercial,2020,8,3,21,30,10XX BROUGHTON ST,West End,490269.4243,5459193.628
Break and Enter Commercial,2020,7,17,0,0,10XX BURRARD ST,Central Business District,490736.3424,5458615.924
Break and Enter Commercial,2020,4,22,12,20,10XX BUTE ST,West End,490409.1263,5458906.32
Break and Enter Commercial,2020,10,12,5,18,10XX CAMBIE ST,Central Business District,491407.3592,5458130.609
Break and Enter Commercial,2020,5,31,6,20,10XX CANADA PL,Central Business District,491492.0426,5459540.39
Break and Enter Commercial,2020,4,8,18,55,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,5,11,4,58,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,7,20,11,16,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,9,1,3,24,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,9,20,18,45,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,10,16,15,25,10XX CHILCO ST,West End,489628.1886,5459759.585
Break and Enter Commercial,2020,4,9,5,5,10XX COMMERCIAL DR,Grandview-Woodland,494937.4981,5458087.034
Break and Enter Commercial,2020,4,5,22,0,10XX COMMERCIAL DR,Grandview-Woodland,494946.4726,5458070.444
Break and Enter Commercial,2020,6,6,7,0,10XX COMMERCIAL DR,Grandview-Woodland,494946.4726,5458070.444
Break and Enter Commercial,2020,9,6,21,21,10XX DAVIE ST,West End,490506.8709,5458577.83
Break and Enter Commercial,2020,4,3,5,24,10XX DAVIE ST,West End,490531.2532,5458553.787
Break and Enter Commercial,2020,4,7,5,40,10XX DAVIE ST,West End,490531.2532,5458553.787
Break and Enter Commercial,2020,8,21,9,8,10XX DAVIE ST,West End,490536.6714,5458548.445
Break and Enter Commercial,2020,7,14,4,55,10XX DAVIE ST,West End,490551.2192,5458546.941
Break and Enter Commercial,2020,5,6,3,59,10XX DAVIE ST,West End,490563.7629,5458521.731
Break and Enter Commercial,2020,8,21,10,35,10XX DENMAN ST,West End,489808.9988,5459517.073
Break and Enter Commercial,2020,8,21,0,0,10XX DENMAN ST,West End,489824.5609,5459532.848
Break and Enter Commercial,2020,5,6,7,55,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.693
Break and Enter Commercial,2020,4,20,3,5,10XX E 7TH AVE,Mount Pleasant,493959.1755,5456834.166
Break and Enter Commercial,2020,8,9,23,45,10XX E 8TH AVE,Mount Pleasant,493994.2273,5456741.936
Break and Enter Commercial,2020,10,22,21,0,10XX E BROADWAY AVE,Mount Pleasant,493962.8722,5456638.353
Break and Enter Commercial,2020,9,15,6,1,10XX GILFORD ST,West End,489771.9792,5459720.28
Break and Enter Commercial,2020,3,28,23,0,10XX GRANVILLE ST,Central Business District,490951.8793,5458412.199
Break and Enter Commercial,2020,5,23,7,20,10XX GRANVILLE ST,Central Business District,490964.4511,5458425.053
Break and Enter Commercial,2020,10,29,3,44,10XX GRANVILLE ST,Central Business District,490968.8928,5458416.517
Break and Enter Commercial,2020,10,31,18,38,10XX GRANVILLE ST,Central Business District,491021.2753,5458470.072
Break and Enter Commercial,2020,9,10,1,20,10XX GRANVILLE ST,Central Business District,491031.1,5458480.116
Break and Enter Commercial,2020,4,12,16,0,10XX HAMILTON ST,Central Business District,491233.0735,5458183.434
Break and Enter Commercial,2020,6,6,3,51,10XX HARO ST,West End,490907.0265,5458966.124
Break and Enter Commercial,2020,10,17,11,13,10XX HARO ST,West End,490907.0265,5458966.124
Break and Enter Commercial,2020,9,12,0,0,10XX HARWOOD ST,West End,490371.2944,5458414.986
Break and Enter Commercial,2020,10,27,9,40,10XX HARWOOD ST,West End,490431.9449,5458353.234
Break and Enter Commercial,2020,4,17,18,22,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,5,3,0,0,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,5,14,16,2,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,8,27,3,30,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,9,20,11,52,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,10,19,17,0,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2020,7,17,7,17,10XX HORNBY ST,Central Business District,490837.7786,5458569.647
Break and Enter Commercial,2020,11,4,22,0,10XX HOWE ST,Central Business District,490891.0561,5458484.35
Break and Enter Commercial,2020,6,1,17,0,10XX JERVIS ST,West End,490409.621,5459131.108
Break and Enter Commercial,2020,8,11,7,0,10XX JERVIS ST,West End,490409.621,5459131.108
Break and Enter Commercial,2020,8,4,21,0,10XX LAGOON DR,Stanley Park,489317.118,5460043.104
Break and Enter Commercial,2020,4,6,20,0,10XX MAIN ST,Strathcona,492743.5459,5458101.499
Break and Enter Commercial,2020,11,3,2,49,10XX MAIN ST,Strathcona,492743.9464,5458116.916
Break and Enter Commercial,2020,10,6,5,12,10XX MAINLAND ST,Central Business District,491275.51,5458134.851
Break and Enter Commercial,2020,10,9,3,0,10XX MAINLAND ST,Central Business District,491322.3733,5458183.454
Break and Enter Commercial,2020,3,19,3,4,10XX MAINLAND ST,Central Business District,491323.2043,5458184.317
Break and Enter Commercial,2020,4,7,8,48,10XX MARINASIDE CRES,Central Business District,491400.994,5457872.422
