country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CA,Canada,British Columbia,Metro Vancouver,,,,2/15/2020,-4,-2,-17,-1,-5,1
CA,Canada,British Columbia,Metro Vancouver,,,,2/16/2020,8,0,38,9,-2,-2
CA,Canada,British Columbia,Metro Vancouver,,,,2/17/2020,9,14,122,-27,-70,14
CA,Canada,British Columbia,Metro Vancouver,,,,2/18/2020,3,7,64,-1,1,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/19/2020,6,3,49,3,0,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/20/2020,5,5,58,-1,1,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/21/2020,3,2,46,1,1,-1
CA,Canada,British Columbia,Metro Vancouver,,,,2/22/2020,2,4,17,3,2,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/23/2020,1,2,-2,0,1,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/24/2020,2,4,25,0,3,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/25/2020,1,4,23,1,4,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/26/2020,3,4,23,1,2,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/27/2020,1,5,18,-2,2,0
CA,Canada,British Columbia,Metro Vancouver,,,,2/28/2020,2,4,15,-1,2,-1
CA,Canada,British Columbia,Metro Vancouver,,,,2/29/2020,5,10,49,7,3,-1
CA,Canada,British Columbia,Metro Vancouver,,,,3/1/2020,3,9,31,3,2,-1
CA,Canada,British Columbia,Metro Vancouver,,,,3/2/2020,-4,4,-16,-6,2,1
CA,Canada,British Columbia,Metro Vancouver,,,,3/3/2020,1,11,23,-4,4,1
CA,Canada,British Columbia,Metro Vancouver,,,,3/4/2020,6,8,55,3,2,-1
CA,Canada,British Columbia,Metro Vancouver,,,,3/5/2020,0,5,8,-6,2,1
CA,Canada,British Columbia,Metro Vancouver,,,,3/6/2020,4,8,57,0,4,-1
CA,Canada,British Columbia,Metro Vancouver,,,,3/7/2020,0,6,11,-2,1,1
CA,Canada,British Columbia,Metro Vancouver,,,,3/8/2020,4,7,75,3,1,0
CA,Canada,British Columbia,Metro Vancouver,,,,3/9/2020,1,8,51,-5,1,1
CA,Canada,British Columbia,Metro Vancouver,,,,3/10/2020,-3,3,10,-9,2,2
CA,Canada,British Columbia,Metro Vancouver,,,,3/11/2020,2,10,51,-5,-1,1
CA,Canada,British Columbia,Metro Vancouver,,,,3/12/2020,-1,20,41,-10,-1,2
CA,Canada,British Columbia,Metro Vancouver,,,,3/13/2020,-5,30,10,-17,-4,3
CA,Canada,British Columbia,Metro Vancouver,,,,3/14/2020,-12,22,20,-17,-5,4
CA,Canada,British Columbia,Metro Vancouver,,,,3/15/2020,-11,17,73,-19,-8,3
CA,Canada,British Columbia,Metro Vancouver,,,,3/16/2020,-10,39,55,-31,-27,10
CA,Canada,British Columbia,Metro Vancouver,,,,3/17/2020,-23,31,84,-39,-35,14
CA,Canada,British Columbia,Metro Vancouver,,,,3/18/2020,-32,17,82,-44,-43,16
CA,Canada,British Columbia,Metro Vancouver,,,,3/19/2020,-39,5,86,-49,-47,19
CA,Canada,British Columbia,Metro Vancouver,,,,3/20/2020,-45,0,79,-49,-48,19
CA,Canada,British Columbia,Metro Vancouver,,,,3/21/2020,-54,-12,53,-49,-39,14
CA,Canada,British Columbia,Metro Vancouver,,,,3/22/2020,-59,-23,6,-55,-43,13
CA,Canada,British Columbia,Metro Vancouver,,,,3/23/2020,-53,-16,-12,-61,-55,23
CA,Canada,British Columbia,Metro Vancouver,,,,3/24/2020,-56,-17,10,-64,-58,25
CA,Canada,British Columbia,Metro Vancouver,,,,3/25/2020,-54,-17,32,-61,-60,24
CA,Canada,British Columbia,Metro Vancouver,,,,3/26/2020,-59,-24,-31,-67,-61,27
CA,Canada,British Columbia,Metro Vancouver,,,,3/27/2020,-60,-23,-39,-67,-60,26
CA,Canada,British Columbia,Metro Vancouver,,,,3/28/2020,-65,-31,-50,-67,-51,19
